@relation mainK-timed-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R27-weka.filters.unsupervised.attribute.Remove-R5

@attribute 'dow ' {0,1,2,3,4,5,6}
@attribute ' phase ' {0,1,2,3}
@attribute Day {0,1}
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute '03:OfficeOutlets* [kVA]' {0,1}
@attribute '04:LivingRoomOutlets* [kVA]' {0,1}
@attribute '05:GuestBathOutlets* [kVA]' {0,1}
@attribute '06:MasterBathOutlets* [kVA]' {0,1}
@attribute '07:LivingRoomPatioLights* [kVA]' {0,1}
@attribute '08:GuestBathHallLights* [kVA]' {0,1}
@attribute '09:DiningRoomOutlets* [kVA]' {0,1}
@attribute '10:OutsideOutlets* [kVA]' {0,1}
@attribute '11:CellarLights* [kVA]' {0,1}
@attribute '14:WashingMachine* [kVA]' {0,1}
@attribute '16:DisposalDishwasher* [kVA]' {0,1}
@attribute '17:Microwave* [kVA]' {0,1}
@attribute '18:KitchenLights* [kVA]' {0,1}
@attribute '19:BedroomOutlets* [kVA]' {0,1}
@attribute '20:BedroomLights* [kVA]' {0,1}
@attribute '21:MasterOutlets* [kVA]' {0,1}
@attribute '22:MasterLights* [kVA]' {0,1}
@attribute '24:CounterOutlets1* [kVA]' {0,1}
@attribute '25:CounterOutlets2* [kVA]' {0,1}
@attribute '26:KitchenOutlets* [kVA]' {0,1}

@data
6,0,0,16440,1.28223,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,0,0,16430,1.27962,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,0,0,16420,1.2771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,16410,1.16837,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,0,0,16400,1.11905,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,0,0,16390,1.13163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
6,0,0,16380,1.2756,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
6,0,0,16370,1.28307,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
6,0,0,16360,1.56262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
6,0,0,16350,1.72872,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
6,0,0,16340,3.0578,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16330,3.06708,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
6,0,0,16320,3.05628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,16310,1.61145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,16300,1.5315,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,16290,1.55572,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16280,1.72473,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16270,1.89758,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16260,1.93123,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16250,1.86318,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16240,1.77397,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16230,1.75107,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16220,1.67383,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16210,1.68528,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16200,1.68768,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16190,1.69357,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16180,1.71038,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16170,1.75002,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16160,1.81853,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16150,1.5349,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16140,1.2156,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16130,1.14155,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16120,1.13463,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16110,1.12053,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16100,1.07357,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16090,0.69765,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16080,0.695317,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16070,0.66915,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16060,0.599133,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16050,0.610867,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,16040,0.71785,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,16030,0.631267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,16020,0.54065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,16010,0.595667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,16000,0.593533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15590,0.59425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15580,0.5952,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15570,0.59465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15560,0.617417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15550,0.6259,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15540,0.6316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15530,0.68985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15520,0.705583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15510,0.7067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15500,0.696017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15490,0.689467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15480,0.6851,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15470,0.679617,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15460,0.690883,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15450,0.6957,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15440,0.689067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15430,0.70935,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15420,0.7098,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15410,0.705317,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15400,0.693333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15390,0.69275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15380,0.693067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15370,0.69305,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15360,0.691683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15350,0.881833,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15340,1.22123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15330,1.21925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15320,1.20485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15310,1.21867,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15300,1.21112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15290,1.2262,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15280,1.17267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15270,1.11727,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15260,1.10628,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15250,1.06028,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15240,1.05073,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15230,1.11002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15220,1.11668,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15210,1.10577,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15200,1.10712,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15190,1.12638,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15180,1.03355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15170,1.0148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15160,1.04058,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15150,1.0693,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15140,1.01495,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15130,0.489233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15120,0.497233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15110,0.469817,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15100,0.466983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,15090,0.467967,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15080,0.471683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15070,0.488883,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15060,0.492733,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15050,0.495033,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15040,0.499933,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15030,0.497067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15020,0.502867,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15010,0.501217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,15000,0.489133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14590,0.492683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14580,0.496917,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14570,0.505833,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14560,0.50325,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14550,0.503717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14540,0.546867,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14530,0.542817,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14520,0.51595,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14510,0.549717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14500,0.5577,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14490,0.607067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14480,0.696167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14470,0.69515,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14460,0.707583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14450,0.7131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14440,0.706133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14430,0.710983,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14420,0.701267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14410,0.690583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14400,0.62275,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14390,0.604817,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14380,0.578617,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14370,0.858117,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14360,1.0973,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14350,0.79245,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14340,0.724633,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14330,1.2093,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14320,1.20287,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14310,1.22217,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14300,1.22235,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14290,1.21828,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14280,1.22527,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14270,1.22222,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14260,1.25527,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14250,1.25023,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14240,1.23943,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14230,1.2601,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14220,1.23998,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14210,1.24672,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14200,1.25592,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14190,1.24533,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14180,1.2496,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14170,1.2638,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14160,1.27027,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14150,1.29167,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14140,1.31752,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14130,1.33308,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14120,0.826667,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14110,0.623333,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14100,0.542383,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14090,0.529783,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,0,0,14080,0.534783,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14070,0.352333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14060,0.33865,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14050,0.339233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14040,0.33705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14030,0.339717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14020,0.342017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14010,0.337033,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,0,0,14000,0.341217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13590,0.342017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13580,0.341583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13570,0.338767,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13560,0.3395,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13550,0.342633,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13540,0.337283,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13530,0.342217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13520,0.3367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13510,0.33845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13500,0.33985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13490,0.337033,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13480,0.338367,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13470,0.336817,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13460,0.3378,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13450,0.337483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13440,0.337167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13430,0.361633,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13420,0.43985,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13410,0.439517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13400,0.44305,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13390,0.43075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13380,0.423017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13370,0.423067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13360,0.423467,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13350,0.423267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13340,0.4237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13330,0.459633,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13320,0.802717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13310,1.02313,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,3,0,13300,1.0278,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6,3,0,13290,1.02207,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6,3,0,13280,1.25593,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13270,1.04447,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
6,3,0,13260,1.05585,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13250,1.05533,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13240,1.0358,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13230,1.04257,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13220,1.02993,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13210,1.03928,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13200,1.0408,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13190,1.03515,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13180,1.03103,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13170,1.0313,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13160,1.05107,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13150,1.0518,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13140,1.07995,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13130,1.07503,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13120,1.12563,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13110,1.01625,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13100,0.571633,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13090,0.57475,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,3,0,13080,0.569483,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
