@relation mainC-refined-weka.filters.unsupervised.attribute.Remove-R7-26

@attribute 'refinedUse ' numeric
@attribute ' dow ' {0,1,2,3,4,5,6}
@attribute ' phase ' {0,1,2,3}
@attribute Day {0,1}
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute Cluster {cluster13,cluster9,cluster3,cluster5,cluster15,cluster17,cluster4,cluster12,cluster55,cluster11,cluster10,cluster42,cluster19,cluster30,cluster33,cluster36,cluster34,cluster39,cluster54,cluster47,cluster26,cluster25,cluster50,cluster52,cluster28}

@data
0.003201,0,3,1,12260,0.855217,cluster5
0.157473,2,0,1,16140,1.71775,cluster15
0.000101,0,3,1,12250,0.855483,cluster5
0.276916,2,0,1,16130,1.8417,cluster15
0.023184,0,3,1,12240,0.852283,cluster5
0.267104,2,0,1,16120,1.8346,cluster15
0.050551,0,3,1,12230,0.846017,cluster5
1.48836,6,0,0,16590,2.53272,cluster3
0.039551,0,3,1,12220,0.856017,cluster5
1.40703,6,0,0,16580,2.52357,cluster3
0.049466,0,3,1,12210,0.844967,cluster5
1.19212,6,0,0,16570,2.52583,cluster3
1.33967,6,0,0,16560,2.69608,cluster3
1.42939,6,0,0,16550,2.79227,cluster3
1.43537,6,0,0,16540,2.79813,cluster3
1.43445,6,0,0,16530,2.79935,cluster3
1.60977,3,0,1,16210,2.67658,cluster4
1.4581,6,0,0,16520,2.81073,cluster3
1.63418,3,0,1,16200,2.68538,cluster4
1.18405,3,0,1,16190,2.22707,cluster4
0.081774,3,0,1,16180,1.14055,cluster4
0.062333,3,0,1,16170,1.12848,cluster4
0.088243,3,0,1,16160,1.13462,cluster4
0.077054,3,0,1,16150,1.13693,cluster4
0.09257,3,0,1,16140,1.13385,cluster4
0.0696,3,0,1,16130,1.11963,cluster4
0.052254,3,0,1,16120,1.098,cluster4
0.128888,0,2,0,6110,0.326017,cluster12
0.224217,0,2,0,6100,0.421417,cluster12
0.203149,3,2,1,6400,1.017033,cluster13
0.224167,0,2,0,6090,0.421617,cluster12
0.198,3,2,1,6390,1.011633,cluster13
0.225558,0,2,0,6080,0.4229,cluster12
0.193667,3,2,1,6380,0.983517,cluster13
0,0,2,0,6070,0.42105,cluster12
0.234166,3,2,1,6370,0.699467,cluster13
0,0,2,0,6060,0.621867,cluster12
0.2303,3,2,1,6360,0.703867,cluster13
0.062921,0,2,0,6050,0.895467,cluster12
0.241916,3,2,1,6350,0.702217,cluster13
0.047007,0,2,0,6040,0.889783,cluster12
0.229215,3,2,1,6340,0.698483,cluster13
0.053554,0,2,0,6030,0.897417,cluster12
0.234884,3,2,1,6330,0.7033,cluster13
0.072032,0,2,0,6020,0.9191,cluster12
0.216234,6,1,0,3400,1.505717,cluster5
0.226616,3,2,1,6320,0.703733,cluster13
0.251583,6,1,0,3390,1.53255,cluster5
0.229516,3,2,1,6310,0.700733,cluster13
0.238033,6,1,0,3380,1.54415,cluster5
0.252667,6,1,0,3370,1.556867,cluster5
0,5,3,1,12400,1.082967,cluster5
0.286167,0,3,0,11300,1.813117,cluster15
0.244183,6,1,0,3360,1.568683,cluster5
0,5,3,1,12390,1.083117,cluster5
0.278234,0,3,0,11290,1.82145,cluster15
0.242084,6,1,0,3350,1.561617,cluster5
0,5,3,1,12380,1.0847,cluster5
0.28975,0,3,0,11280,1.8213,cluster15
0.26335,6,1,0,3340,1.552817,cluster5
0,5,3,1,12370,1.081883,cluster5
0.309817,0,3,0,11270,1.851483,cluster15
0.244833,6,1,0,3330,1.4158,cluster5
0,5,3,1,12360,1.080617,cluster5
0.218651,0,3,0,11260,1.752667,cluster15
0.259117,6,1,0,3320,1.402067,cluster5
0,5,3,1,12350,1.083433,cluster5
0.1423,0,3,0,11250,1.687333,cluster13
0.30515,6,1,0,3310,1.4372,cluster5
0,5,3,1,12340,1.089467,cluster5
0.144066,0,3,0,11240,1.69545,cluster13
0,5,3,1,12330,1.088317,cluster5
0.139066,0,3,0,11230,1.697317,cluster13
0,5,3,1,12320,1.086583,cluster5
0.1383,0,3,0,11220,1.694233,cluster13
0,5,0,1,21210,0.9819,cluster3
0,5,3,1,12310,1.10215,cluster5
0.140084,0,3,0,11210,1.7174,cluster13
0,5,0,1,21200,1.0122,cluster3
0,5,0,1,21190,1.0584,cluster3
0.603684,3,0,1,17300,1.272217,cluster13
0.347756,5,0,1,21180,1.09442,cluster3
0.527567,3,0,1,17290,1.437133,cluster13
0.791974,5,0,1,21170,1.16832,cluster3
0.518218,3,0,1,17280,1.44905,cluster13
0.049436,5,0,1,21160,0.425817,cluster3
0.507867,3,0,1,17270,1.44855,cluster13
0.04837,5,0,1,21150,0.42475,cluster3
0.5119,3,0,1,17260,1.441083,cluster13
0.046337,5,0,1,21140,0.425567,cluster3
0.529468,3,0,1,17250,1.448417,cluster13
0.045986,5,0,1,21130,0.426317,cluster3
0.531183,3,0,1,17240,1.452933,cluster13
0.052423,5,0,1,21120,0.430533,cluster3
0.535867,3,0,1,17230,1.462067,cluster13
0.534316,3,0,1,17220,1.474883,cluster13
0.519799,3,0,1,17210,1.461467,cluster13
1.06322,1,3,1,11110,1.5303,cluster9
0.816857,1,3,1,11100,1.28475,cluster9
0.61516,1,3,1,11090,1.08072,cluster9
0.65303,1,3,1,11080,1.10393,cluster9
0.088753,6,0,0,21210,0.5348,cluster3
0.644437,1,3,1,11070,1.09235,cluster9
0.073473,6,0,0,21200,0.532867,cluster3
0.662843,1,3,1,11060,1.09547,cluster9
0.076084,6,0,0,21190,0.54025,cluster3
0.641641,1,3,1,11050,1.09625,cluster9
0.076503,6,0,0,21180,0.540883,cluster3
0.627636,1,3,1,11040,1.09387,cluster9
0.070533,6,0,0,21170,0.543383,cluster3
0.63909,1,3,1,11030,1.08412,cluster9
0.079707,6,0,0,21160,0.539167,cluster3
0.6329,1,3,1,11020,1.09008,cluster9
0.126567,6,0,0,21150,0.537533,cluster3
0.14177,6,0,0,21140,0.532217,cluster3
0.132907,6,0,0,21130,0.523517,cluster3
0.13369,6,0,0,21120,0.5244,cluster3
0.474483,6,1,0,2400,1.5967,cluster15
0.7091,6,1,0,2390,1.83495,cluster15
0.71095,6,1,0,2380,1.829117,cluster15
0.547917,3,3,1,10300,2.20995,cluster3
0.754283,6,1,0,2370,1.880433,cluster15
0.538188,3,3,1,10290,2.20762,cluster3
0.686967,6,1,0,2360,1.8225,cluster15
0.540913,3,3,1,10280,2.20893,cluster3
0.687434,6,1,0,2350,1.81545,cluster15
0.544369,3,3,1,10270,2.23547,cluster3
0.6879,6,1,0,2340,1.824233,cluster15
0.552898,3,3,1,10260,2.22413,cluster3
0.701102,6,1,0,2330,1.832617,cluster15
0.554634,3,3,1,10250,2.2182,cluster3
0.715716,6,1,0,2320,1.849633,cluster15
0.55225,3,3,1,10240,2.2371,cluster3
0.69245,6,1,0,2310,1.82415,cluster15
0.551313,3,3,1,10230,2.22158,cluster3
2.17597,3,3,1,7300,2.5299,cluster17
0.55383,3,3,1,10220,2.21628,cluster3
2.17963,3,3,1,7290,2.532117,cluster17
0.549881,3,3,1,10210,2.22253,cluster3
2.20295,3,3,1,7280,2.529517,cluster17
2.19028,3,3,1,7270,2.554433,cluster17
1.06395,2,0,1,16300,2.108717,cluster15
2.17797,3,3,1,7260,2.524233,cluster17
1.15927,2,0,1,16290,1.812083,cluster15
1.98975,3,3,1,7250,2.349533,cluster17
0.875266,2,0,1,16280,1.325167,cluster15
1.86277,3,3,1,7240,2.223783,cluster17
0.793566,2,0,1,16270,1.1586,cluster15
1.9094,3,3,1,7230,2.253033,cluster17
0.786917,2,0,1,16260,1.14925,cluster15
1.87922,3,3,1,7220,2.2144,cluster17
0.795432,2,0,1,16250,1.151883,cluster15
0.58992,2,0,1,16110,1.83223,cluster15
1.87152,3,3,1,7210,2.212967,cluster17
0.797217,2,0,1,16240,1.1525,cluster15
0.83056,2,0,1,16100,1.80707,cluster15
0.80625,2,0,1,16230,1.153567,cluster15
0.286473,2,0,1,16090,1.27337,cluster15
0,0,3,1,12200,0.91525,cluster5
0.962751,2,0,1,16220,1.3138,cluster15
0.288767,2,0,1,16080,1.23455,cluster15
0,0,3,1,12190,0.94655,cluster5
1.1893,2,0,1,16210,1.544167,cluster15
0.291787,2,0,1,16070,1.24115,cluster15
0,0,3,1,12180,0.944333,cluster5
0.528076,2,0,1,16060,1.36717,cluster15
0,0,3,1,12170,1.185933,cluster5
1.23079,2,0,1,16050,1.4768,cluster15
0,0,3,1,12160,1.229517,cluster5
0.76441,2,0,1,16040,1.04087,cluster15
0,0,3,1,12150,1.218017,cluster5
0.628336,2,0,1,16030,0.90535,cluster15
0,0,3,1,12140,1.234,cluster5
2.00104,2,0,1,16020,2.27272,cluster15
0,0,3,1,12130,1.286133,cluster5
0,0,3,1,12120,1.32665,cluster5
0,0,3,1,12110,1.325617,cluster5
0.489034,3,0,1,16110,1.22828,cluster4
0.86214,3,0,1,16100,1.3184,cluster4
0.327,3,0,1,16090,0.78215,cluster4
0.499616,3,0,1,16080,0.900033,cluster4
0.350204,3,0,1,16070,0.7135,cluster4
0.227972,3,0,1,16060,0.59625,cluster4
0.072731,2,1,1,1390,1.49038,cluster13
0.244403,3,0,1,16050,0.600783,cluster4
0.061034,2,1,1,1380,1.49395,cluster13
0.247607,3,0,1,16040,0.6049,cluster4
0.085183,2,1,1,1370,1.49625,cluster13
0.272919,3,0,1,16030,0.602,cluster4
0.037104,2,1,1,1360,1.51817,cluster13
0.321183,3,0,1,16020,0.5988,cluster4
0.0234,2,1,1,1350,1.54105,cluster13
0.77555,2,1,1,1340,1.6083,cluster13
0.508763,2,1,1,1330,1.35668,cluster13
0.184687,2,1,1,1320,1.02527,cluster13
0.170617,2,1,1,1310,1.0262,cluster13
0.169887,2,1,1,1300,1.02382,cluster13
0.241799,3,2,1,6300,0.697967,cluster13
0.228384,3,2,1,6290,0.69405,cluster13
0.227067,3,2,1,6280,0.694317,cluster13
0.223734,3,2,1,6270,0.688017,cluster13
0.226416,3,2,1,6260,0.6867,cluster13
0.246383,3,2,1,6250,0.713183,cluster13
0.350884,3,2,1,6240,0.5797,cluster13
0.367166,3,2,1,6230,0.568867,cluster13
0.473666,6,1,0,3300,1.605983,cluster5
0.37125,3,2,1,6220,0.5738,cluster13
0.369518,1,1,1,2200,1.4843,cluster4
0.341567,6,1,0,3290,1.422833,cluster5
0.371116,3,2,1,6210,0.574183,cluster13
0.373534,1,1,1,2190,1.39765,cluster4
0.299833,6,1,0,3280,1.3832,cluster5
0.36575,1,1,1,2180,1.395733,cluster4
0.207535,6,1,0,3270,1.2944,cluster5
0,5,3,1,12300,1.011917,cluster5
0.291067,1,1,1,2170,1.26135,cluster4
0.134918,0,3,0,11200,1.72895,cluster13
0.2054,6,1,0,3260,1.290567,cluster5
0,5,3,1,12290,0.979917,cluster5
0.157367,1,1,1,2160,1.15065,cluster4
0.141617,0,3,0,11190,1.734683,cluster13
0.204133,6,1,0,3250,1.293017,cluster5
0,5,3,1,12280,0.973617,cluster5
0.238433,1,1,1,2150,1.249783,cluster4
0.138634,0,3,0,11180,1.768583,cluster13
0.203466,6,1,0,3240,1.293067,cluster5
0,5,3,1,12270,0.972083,cluster5
0.257567,1,1,1,2140,1.2604,cluster4
0.185232,0,3,0,11170,1.802083,cluster13
0.203283,6,1,0,3230,1.290383,cluster5
0,5,3,1,12260,0.9746,cluster5
0.232533,1,1,1,2130,1.2586,cluster4
0.235367,0,3,0,11160,1.307267,cluster13
0.072066,6,1,0,3220,1.407883,cluster5
0,5,3,1,12250,0.974467,cluster5
0.252851,1,1,1,2120,1.26975,cluster4
0.241433,0,3,0,11150,1.305067,cluster13
0,6,1,0,3210,1.451967,cluster5
0,5,3,1,12240,0.9758,cluster5
0.271234,1,1,1,2110,1.282967,cluster4
0.240165,0,3,0,11140,1.305433,cluster13
0,5,3,1,12230,0.974467,cluster5
0.245034,0,3,0,11130,1.339017,cluster13
0,5,3,1,12220,0.98245,cluster5
0.226183,0,3,0,11120,1.411217,cluster13
0.052056,5,0,1,21110,0.431517,cluster3
0,5,3,1,12210,0.9759,cluster5
0.231534,0,3,0,11110,1.411683,cluster13
0.054519,5,0,1,21100,0.428933,cluster3
0.050283,5,0,1,21090,0.42725,cluster3
0.52525,3,0,1,17200,1.479633,cluster13
0.046824,5,0,1,21080,0.42435,cluster3
0.533268,3,0,1,17190,1.450267,cluster13
0.05132,5,0,1,21070,0.424033,cluster3
0.525184,3,0,1,17180,1.466033,cluster13
0.050887,5,0,1,21060,0.4237,cluster3
0.534083,3,0,1,17170,1.4637,cluster13
0.045491,5,0,1,21050,0.42445,cluster3
0.527768,3,0,1,17160,1.453417,cluster13
0.052616,5,0,1,21040,0.427033,cluster3
0.530117,3,0,1,17150,1.4659,cluster13
0.04545,5,0,1,21030,0.425233,cluster3
0.540317,3,0,1,17140,1.463867,cluster13
0.042375,5,0,1,21020,0.427567,cluster3
0.534584,3,0,1,17130,1.477967,cluster13
0.51965,3,0,1,17120,1.4839,cluster13
0.543433,3,0,1,17110,1.37685,cluster13
0.629877,1,3,1,11010,1.09202,cluster9
0.665257,1,3,1,11000,1.11552,cluster9
0.64925,1,3,1,10590,1.09348,cluster9
0.664773,1,3,1,10580,1.09777,cluster9
0,6,0,0,21110,0.524017,cluster3
0.65552,1,3,1,10570,1.09213,cluster9
0,6,0,0,21100,0.6948,cluster3
0.072207,1,3,1,10560,1.0738,cluster9
0,6,0,0,21090,1.05287,cluster3
0.25187,1,3,1,10550,1.2831,cluster9
0.094507,6,0,0,21080,1.07127,cluster3
0.485583,1,3,1,10540,1.5049,cluster9
0,6,0,0,21070,0.965533,cluster3
0.578377,1,3,1,10530,1.62867,cluster9
0,6,0,0,21060,0.962133,cluster3
1.1308,1,3,1,10520,2.1523,cluster9
0.161549,6,0,0,21050,0.94825,cluster3
0.122604,6,0,0,21040,0.91695,cluster3
0.058233,6,0,0,21030,0.842117,cluster3
0.06727,6,0,0,21020,0.85515,cluster3
0.704999,1,1,1,1200,1.049433,cluster15
0.836583,6,1,0,2300,1.9957,cluster15
0.696601,1,1,1,1190,1.129417,cluster15
0.952201,6,1,0,2290,2.0899,cluster15
0.693883,1,1,1,1180,1.1402,cluster15
0.955299,6,1,0,2280,2.105283,cluster15
0.692468,1,1,1,1170,1.138967,cluster15
0.550487,3,3,1,10200,2.23752,cluster3
0.962134,6,1,0,2270,2.116433,cluster15
0.693916,1,1,1,1160,1.1778,cluster15
0.549047,3,3,1,10190,2.24328,cluster3
0.958201,6,1,0,2260,2.108167,cluster15
0.678834,1,1,1,1150,1.132833,cluster15
0.552621,3,3,1,10180,2.27677,cluster3
0.958799,6,1,0,2250,2.129283,cluster15
0.8117,1,1,1,1140,1.204067,cluster15
0.552566,3,3,1,10170,2.3223,cluster3
0.806684,6,1,0,2240,1.982717,cluster15
1.25458,1,1,1,1130,1.633,cluster15
0.558963,3,3,1,10160,2.36198,cluster3
0.71295,6,1,0,2230,1.91115,cluster15
0.62475,4,0,1,22200,0.89195,cluster15
1.19,1,1,1,1120,1.57215,cluster15
0.638586,3,3,1,10150,2.19252,cluster3
0.714366,6,1,0,2220,2.134367,cluster15
0.636749,4,0,1,22190,0.883533,cluster15
1.01928,1,1,1,1110,1.401617,cluster15
0.694213,3,3,1,10140,1.85668,cluster3
0.768551,6,1,0,2210,1.97405,cluster15
0.632634,4,0,1,22180,0.88455,cluster15
0.662119,3,3,1,10130,1.86437,cluster3
0.64425,4,0,1,22170,0.8796,cluster15
1.86162,3,3,1,7200,2.233667,cluster17
0.690567,3,3,1,10120,1.85995,cluster3
0.668968,4,0,1,22160,0.874467,cluster15
1.89752,3,3,1,7190,2.324483,cluster17
0.87677,3,3,1,10110,2.13062,cluster3
0.670568,4,0,1,22150,0.876217,cluster15
1.97103,3,3,1,7180,2.23185,cluster17
0.669567,4,0,1,22140,0.8751,cluster15
2.01418,3,3,1,7170,2.281333,cluster17
1.05633,2,0,1,16200,1.394733,cluster15
0.669484,4,0,1,22130,0.875217,cluster15
2.00202,3,3,1,7160,2.29445,cluster17
0.945633,2,0,1,16190,1.302817,cluster15
0.669734,4,0,1,22120,0.875917,cluster15
2.0038,3,3,1,7150,2.2791,cluster17
1.19647,2,0,1,16180,1.545883,cluster15
0.672834,4,0,1,22110,0.879517,cluster15
2.14457,3,3,1,7140,2.40305,cluster17
1.18362,2,0,1,16170,1.539117,cluster15
2.24922,3,3,1,7130,2.524683,cluster17
0.978833,2,0,1,16160,1.3272,cluster15
2.22528,3,3,1,7120,2.495167,cluster17
0.811351,2,0,1,16150,1.1606,cluster15
1.99464,2,0,1,16010,2.27093,cluster15
2.14998,3,3,1,7110,2.43565,cluster17
0.813366,2,0,1,16140,1.162233,cluster15
2.05194,2,0,1,16000,2.32762,cluster15
0.805383,2,0,1,16130,1.16365,cluster15
0.711907,2,0,1,15590,1.16147,cluster15
0,0,3,1,12100,1.334733,cluster5
0.809632,2,0,1,16120,1.174233,cluster15
0.4643,2,0,1,15580,0.919967,cluster15
0,0,3,1,12090,1.343217,cluster5
0.809784,2,0,1,16110,1.172717,cluster15
0.641356,2,0,1,15570,1.10022,cluster15
0,0,3,1,12080,1.311883,cluster5
0.715153,2,0,1,15560,1.15613,cluster15
0,0,3,1,12070,1.33825,cluster5
0.68927,2,0,1,15550,1.15315,cluster15
0,0,3,1,12060,1.33395,cluster5
0.501603,2,0,1,15540,0.9639,cluster15
0,0,3,1,12050,1.328567,cluster5
0.41717,2,0,1,15530,0.89205,cluster15
0,0,3,1,12040,1.363767,cluster5
0.4225,2,0,1,15520,0.899067,cluster15
0,0,3,1,12030,1.351017,cluster5
0,0,3,1,12020,1.339083,cluster5
0,0,3,1,12010,1.342933,cluster5
0.242183,3,0,1,16010,0.589733,cluster4
0.200516,3,0,1,16000,0.595283,cluster4
0,3,0,1,15590,0.692083,cluster4
0,3,0,1,15580,0.691417,cluster4
0.06923,3,0,1,15570,1.17518,cluster4
0.127486,3,0,1,15560,1.23378,cluster4
0.174253,2,1,1,1290,1.02372,cluster13
0.070687,3,0,1,15550,1.1876,cluster4
0.167199,2,1,1,1280,1.02025,cluster13
0.10274,3,0,1,15540,1.20687,cluster4
0.174114,2,1,1,1270,1.02178,cluster13
0.028787,3,0,1,15530,1.15542,cluster4
0.178136,2,1,1,1260,1.02302,cluster13
0.140666,3,0,1,15520,1.23618,cluster4
0.172287,2,1,1,1250,1.02437,cluster13
0.16007,2,1,1,1240,1.02337,cluster13
0.16158,2,1,1,1230,1.02263,cluster13
0.092551,2,1,1,1220,1.02175,cluster13
0.071947,2,1,1,1210,1.03438,cluster13
0,4,0,1,21200,1.44345,cluster13
0.153853,2,1,1,1200,1.12532,cluster13
0.283383,4,0,1,21190,1.7294,cluster13
0.3341,4,0,1,21180,1.779517,cluster13
0.35385,3,2,1,6200,0.605883,cluster13
0.325833,4,0,1,21170,1.79735,cluster13
0.202483,3,2,1,6190,1.01525,cluster13
0.111383,4,0,1,21160,1.588033,cluster13
0.17915,3,2,1,6180,1.013867,cluster13
0,4,0,1,21150,1.4321,cluster13
0.194133,3,2,1,6170,1.023733,cluster13
0,4,0,1,21140,1.444367,cluster13
0.201033,3,2,1,6160,1.033583,cluster13
0,4,0,1,21130,1.4434,cluster13
0,0,0,1,18200,0.885267,cluster5
0.199051,3,2,1,6150,1.025117,cluster13
0,4,0,1,21120,1.446683,cluster13
0,0,0,1,18190,0.884933,cluster5
0.204399,3,2,1,6140,1.01395,cluster13
0,4,0,1,21110,1.4627,cluster13
0,0,0,1,18180,0.883933,cluster5
0.1976,3,2,1,6130,1.0264,cluster13
0,0,0,1,18170,0.88435,cluster5
0,6,1,0,3200,1.410683,cluster5
0.196451,3,2,1,6120,1.0339,cluster13
0.236965,1,1,1,2100,1.280183,cluster4
0,0,0,1,18160,0.917217,cluster5
0,6,1,0,3190,1.426083,cluster5
0.2008,3,2,1,6110,1.029217,cluster13
0.250349,1,1,1,2090,1.283267,cluster4
0,0,0,1,18150,0.988967,cluster5
0,6,1,0,3180,1.426767,cluster5
0.162433,1,1,1,2080,1.378017,cluster4
0,0,0,1,18140,0.989317,cluster5
0,6,1,0,3170,1.325967,cluster5
0,5,3,1,12200,0.9762,cluster5
0.20075,1,1,1,2070,1.340267,cluster4
0.232167,0,3,0,11100,1.4076,cluster13
0,0,0,1,18130,0.989933,cluster5
0,6,1,0,3160,1.442417,cluster12
0,5,3,1,12190,0.977267,cluster5
0.167901,1,1,1,2060,1.233617,cluster4
0.236966,0,3,0,11090,1.406083,cluster13
0,0,0,1,18120,0.988717,cluster5
0.039083,6,1,0,3150,1.5309,cluster12
0,5,3,1,12180,0.97,cluster5
0.1628,1,1,1,2050,1.22895,cluster4
0.237783,0,3,0,11080,1.409567,cluster13
0,0,0,1,18110,0.990667,cluster5
0.0336,6,1,0,3140,1.5496,cluster12
0,5,3,1,12170,0.965233,cluster5
0.172783,1,1,1,2040,1.227333,cluster4
0.241517,0,3,0,11070,1.409367,cluster13
0.034417,6,1,0,3130,1.532617,cluster12
0,5,3,1,12160,0.963133,cluster5
0.25165,1,1,1,2030,1.288767,cluster4
0.2257,0,3,0,11060,1.410467,cluster13
0.03805,6,1,0,3120,1.540717,cluster12
0,5,3,1,12150,0.963033,cluster5
0.196917,1,1,1,2020,1.254867,cluster4
0.237449,0,3,0,11050,1.41305,cluster13
0.04555,6,1,0,3110,1.550917,cluster12
0,5,3,1,12140,0.961917,cluster5
0.044384,1,1,1,2010,1.0926,cluster4
0.236717,0,3,0,11040,1.413267,cluster13
0,5,3,1,12130,0.960183,cluster5
0.228999,0,3,0,11030,1.41535,cluster13
0,5,3,1,12120,0.9925,cluster5
0.237367,0,3,0,11020,1.433067,cluster13
0,5,0,1,21010,0.437667,cluster3
0,5,3,1,12110,1.274867,cluster5
0.241366,0,3,0,11010,1.40865,cluster13
0.017867,5,0,1,21000,0.5145,cluster3
0.034237,5,0,1,20590,0.5886,cluster3
0.9529,3,0,1,17100,1.830633,cluster13
0.086387,5,0,1,20580,0.586417,cluster3
1.04927,3,0,1,17900,1.80035,cluster13
0.127305,5,0,1,20570,0.618167,cluster3
1.10488,3,0,1,17800,1.4664,cluster13
0.05007,5,0,1,20560,0.52855,cluster3
1.09928,3,0,1,17700,1.465717,cluster13
0.039187,5,0,1,20550,0.527583,cluster3
1.10562,3,0,1,17600,1.460167,cluster13
0.05427,5,0,1,20540,0.531317,cluster3
1.10305,3,0,1,17500,1.461467,cluster13
0.03447,5,0,1,20530,0.53015,cluster3
1.08735,3,0,1,17400,1.456833,cluster13
0.034906,5,0,1,20520,0.5317,cluster3
1.0922,3,0,1,17300,1.45335,cluster13
1.0845,3,0,1,17200,1.445033,cluster13
1.06548,3,0,1,17100,1.4351,cluster13
0.711723,1,3,1,10510,1.6575,cluster9
1.37657,1,3,1,10500,2.35043,cluster9
1.18168,1,3,1,10490,2.13218,cluster9
0.563589,1,3,1,10480,1.51852,cluster9
0.558447,1,3,1,10470,1.50463,cluster9
0.36189,1,3,1,10460,1.85645,cluster9
0.025417,0,0,0,20190,0.407017,cluster3
0.617479,1,3,1,10450,2.18393,cluster9
0.034549,0,0,0,20180,0.40745,cluster3
1.73362,1,3,1,10440,3.45458,cluster9
0.031717,0,0,0,20170,0.407117,cluster3
1.93659,1,3,1,10430,3.60262,cluster9
0.039468,0,0,0,20160,0.4088,cluster3
1.83182,1,3,1,10420,3.63517,cluster9
0.038383,0,0,0,20150,0.4088,cluster3
0.031784,0,0,0,20140,0.406817,cluster3
0.036949,0,0,0,20130,0.408783,cluster3
0.04025,0,0,0,20120,0.4075,cluster3
0.27315,0,0,0,17200,0.54935,cluster13
0.043783,0,0,0,20110,0.409583,cluster3
0.282934,0,0,0,17190,0.54735,cluster13
0.058468,0,0,0,20100,0.410517,cluster3
0.271801,0,0,0,17180,0.544417,cluster13
0.73615,1,1,1,1100,1.267167,cluster15
0.326917,0,0,0,17170,0.532517,cluster13
0.6701,6,1,0,2200,1.38805,cluster15
0.781483,1,1,1,1090,1.3243,cluster15
0.326951,0,0,0,17160,0.53365,cluster13
